geoid,name,B02001001,"B02001001, Error",B02001002,"B02001002, Error",B02001003,"B02001003, Error",B02001004,"B02001004, Error",B02001005,"B02001005, Error",B02001006,"B02001006, Error",B02001007,"B02001007, Error",B02001008,"B02001008, Error",B02001009,"B02001009, Error",B02001010,"B02001010, Error"
86000US14712,"14712",3089,247,2968,246,4,6,9,15,11,16,13,18,7,13,77,68,61,65,16,20
86000US14714,"14714",544,153,539,152,0,13,0,13,4,9,0,13,0,13,1,2,0,13,1,2
86000US14715,"14715",2579,304,2537,297,14,19,2,4,3,6,0,13,2,10,21,22,0,13,21,22
86000US14716,"14716",2602,263,1826,265,262,95,44,56,19,25,0,13,269,129,182,150,142,155,40,31
86000US14717,"14717",564,112,562,111,0,13,0,13,0,13,0,13,0,13,2,4,0,13,2,4
86000US14718,"14718",2024,290,1749,271,196,113,3,4,10,36,0,13,44,29,22,17,3,6,19,16
86000US14719,"14719",3398,368,3235,382,14,17,8,9,3,4,0,13,73,63,65,41,23,26,42,30
86000US14720,"14720",870,244,763,231,2,5,12,19,6,16,0,13,25,35,62,67,44,64,18,23
86000US14721,"14721",175,76,174,76,0,13,0,13,0,13,0,13,0,13,1,2,0,13,1,2
86000US14722,"14722",189,91,167,92,14,24,0,13,0,13,0,13,6,15,2,6,2,6,0,13
86000US14723,"14723",1012,158,983,156,0,13,0,13,3,6,0,13,3,5,23,15,8,8,15,14
86000US14724,"14724",2955,513,2851,510,3,6,0,13,9,9,0,13,17,18,75,37,31,19,44,33
86000US14726,"14726",2743,576,2706,580,0,13,1,2,0,13,0,13,8,18,28,23,20,22,8,7
86000US14727,"14727",4939,292,4770,284,0,13,14,16,18,22,0,13,27,25,110,60,38,41,72,48
86000US14728,"14728",1049,213,1032,213,0,13,0,13,0,13,0,13,0,13,17,25,0,13,17,25
86000US14729,"14729",813,157,792,156,11,16,0,13,0,13,0,13,9,13,1,3,0,13,1,3
86000US14731,"14731",1220,205,1205,204,0,13,7,11,0,13,0,13,1,3,7,9,0,13,7,9
86000US14732,"14732",18,20,18,20,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
86000US14733,"14733",3104,395,2922,389,8,8,0,13,1,3,13,20,17,19,143,124,88,115,55,45
86000US14735,"14735",2725,328,2693,327,0,13,2,5,0,13,0,13,0,13,30,28,26,28,4,5
86000US14736,"14736",154,73,154,73,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
86000US14737,"14737",4105,320,3718,329,16,18,41,40,2,4,0,13,25,20,303,139,146,118,157,75
86000US14738,"14738",3542,198,3470,218,0,13,1,3,0,13,0,13,2,5,69,55,67,55,2,4
86000US14739,"14739",2627,409,2550,405,33,43,7,10,0,13,0,13,4,6,33,21,12,11,21,16
86000US14740,"14740",1112,167,1086,165,7,7,0,13,0,13,0,13,9,11,10,12,0,13,10,12
86000US14741,"14741",1887,282,1858,281,1,4,2,3,0,13,0,13,0,13,26,17,10,11,16,12
86000US14742,"14742",90,67,90,67,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
86000US14743,"14743",2171,374,1917,318,48,63,5,8,5,9,0,13,0,13,196,151,170,149,26,22
86000US14744,"14744",2250,284,2125,278,78,37,0,13,10,17,0,13,3,7,34,36,11,14,23,33
86000US14747,"14747",2073,256,1994,260,2,5,0,13,15,22,0,13,17,24,45,30,14,12,31,26
86000US14748,"14748",505,116,436,100,0,13,64,35,0,13,0,13,3,4,2,3,0,13,2,3
86000US14750,"14750",4521,316,4294,339,30,46,0,13,11,15,0,13,37,43,149,99,71,59,78,88
86000US14752,"14752",230,186,220,185,10,15,0,13,0,13,0,13,0,13,0,13,0,13,0,13
86000US14753,"14753",950,176,916,172,6,5,4,7,0,13,0,13,17,20,7,10,0,13,7,10
86000US14754,"14754",534,135,528,135,0,13,0,13,0,13,0,13,0,13,6,9,6,9,0,13
86000US14755,"14755",2858,329,2682,333,51,22,56,44,4,8,0,13,39,31,26,16,3,5,23,16
86000US14756,"14756",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
86000US14757,"14757",3183,268,2871,294,71,33,7,12,11,19,0,13,44,33,179,142,147,140,32,35
86000US14760,"14760",17675,435,16049,486,395,167,111,125,289,136,0,21,91,65,740,182,172,125,568,150
86000US14767,"14767",2265,379,2240,375,0,13,1,2,2,3,0,13,0,13,22,22,20,22,2,3
86000US14769,"14769",651,208,633,199,0,13,0,13,0,13,0,13,4,10,14,21,0,13,14,21
86000US14770,"14770",2888,311,2712,298,33,32,2,3,8,13,0,13,12,17,121,71,48,38,73,56
86000US14772,"14772",3993,584,3815,575,24,36,18,18,0,13,0,13,4,10,132,59,58,36,74,49
86000US14774,"14774",290,211,253,188,0,13,0,13,0,13,0,13,0,13,37,30,26,27,11,17
86000US14775,"14775",2565,417,2501,421,3,5,3,4,15,22,0,13,22,17,21,21,13,17,8,13
86000US14777,"14777",613,142,576,136,0,13,0,13,9,14,0,13,0,13,28,29,0,13,28,29
86000US14778,"14778",1380,23,1160,103,119,77,0,13,61,42,0,13,29,23,11,10,0,13,11,10
86000US14779,"14779",6899,146,4857,216,135,73,1280,157,28,28,0,19,168,76,431,104,112,62,319,99
86000US14781,"14781",1827,258,1718,255,0,13,11,16,4,7,0,13,16,20,78,71,53,68,25,22
86000US14782,"14782",2169,306,2085,304,25,24,0,13,0,13,0,13,0,13,59,33,34,28,25,21
86000US14783,"14783",128,57,59,43,0,13,51,31,0,13,0,13,0,13,18,24,13,19,5,6
86000US14784,"14784",750,161,737,162,6,11,0,13,0,13,0,13,0,13,7,13,0,13,7,13
86000US14785,"14785",130,144,130,144,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
86000US14787,"14787",4756,228,4444,257,8,17,98,151,176,84,0,13,11,20,19,29,19,29,0,13
86000US14788,"14788",104,68,37,35,62,58,2,4,0,13,0,13,3,6,0,13,0,13,0,13
86000US14801,"14801",5263,424,5131,415,23,21,23,18,1,3,0,19,9,16,76,37,36,21,40,28
86000US14802,"14802",4563,208,3426,268,540,128,19,23,216,92,8,15,232,132,122,46,55,36,67,36
86000US14803,"14803",1546,222,1504,216,4,13,0,13,22,29,0,13,0,13,16,17,5,7,11,15
86000US14804,"14804",1507,174,1418,181,0,13,0,13,16,13,18,19,0,13,55,47,6,7,49,46
86000US14805,"14805",765,146,756,144,4,6,4,10,0,13,0,13,0,13,1,2,0,13,1,2
86000US14806,"14806",2149,334,2109,337,0,13,1,3,0,13,0,13,8,11,31,27,8,10,23,25
86000US14807,"14807",3034,291,2880,276,17,19,34,34,0,13,0,13,42,46,61,25,42,25,19,18
86000US14808,"14808",550,176,531,175,0,13,0,13,3,4,0,13,0,13,16,11,0,13,16,11
86000US14809,"14809",2905,535,2728,531,12,17,0,13,1,2,0,13,67,56,97,73,23,27,74,69
86000US14810,"14810",11484,359,10783,415,369,149,3,6,13,18,0,21,77,65,239,147,181,144,58,33
86000US14812,"14812",3286,325,3090,321,10,17,5,6,14,11,0,13,40,66,127,55,59,42,68,34
86000US14813,"14813",2213,296,2141,296,46,34,0,13,2,3,0,13,1,2,23,18,12,15,11,10
86000US14814,"14814",1784,342,1647,333,14,23,0,13,108,110,0,13,0,13,15,20,0,13,15,20
86000US14815,"14815",727,135,663,125,0,13,0,13,0,13,0,13,6,9,58,31,51,31,7,7
86000US14816,"14816",595,280,559,281,0,13,3,3,28,39,0,13,0,13,5,7,0,13,5,7
86000US14817,"14817",2911,292,2328,360,46,43,0,13,104,111,0,13,46,72,387,179,312,176,75,56
86000US14818,"14818",1765,317,1723,310,0,13,0,13,11,13,0,13,10,15,21,16,4,7,17,14
86000US14819,"14819",625,115,609,117,0,13,0,13,1,4,0,13,0,13,15,26,10,25,5,7
86000US14820,"14820",531,104,509,103,0,13,2,3,0,13,0,13,0,13,20,14,0,13,20,14
86000US14821,"14821",3333,284,3191,311,20,7,0,13,17,24,0,13,30,44,75,35,18,13,57,33
86000US14822,"14822",850,126,847,125,0,13,0,13,0,13,0,13,0,13,3,4,1,3,2,2
86000US14823,"14823",3851,122,3579,160,4,7,9,13,108,97,0,13,30,39,121,77,62,66,59,40
86000US14824,"14824",768,242,728,232,21,21,1,2,0,13,0,13,0,13,18,20,11,13,7,13
86000US14825,"14825",755,230,736,225,1,5,0,13,5,8,0,13,0,13,13,15,0,13,13,15
86000US14826,"14826",1923,209,1817,219,16,15,0,13,0,13,0,13,3,5,87,72,17,23,70,68
86000US14827,"14827",16,23,16,23,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
86000US14830,"14830",19127,458,17704,502,549,169,2,4,304,142,0,21,142,94,426,132,160,81,266,113
86000US14836,"14836",835,154,790,151,0,13,0,13,0,13,0,13,0,13,45,30,13,12,32,26
86000US14837,"14837",5596,402,5356,413,62,54,6,10,1,12,0,19,8,17,163,87,54,54,109,69
86000US14838,"14838",2133,330,2053,332,11,12,0,13,4,7,0,13,15,19,50,35,20,23,30,26
86000US14839,"14839",594,133,594,133,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
86000US14840,"14840",2577,245,2460,243,28,29,4,6,3,4,0,13,28,29,54,28,37,26,17,12
86000US14841,"14841",743,246,723,234,0,13,0,13,0,13,0,13,0,13,20,26,0,13,20,26
86000US14842,"14842",847,362,847,362,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
86000US14843,"14843",12418,275,11768,322,158,106,0,21,94,72,0,21,113,86,285,103,46,32,239,98
86000US14845,"14845",20756,649,18440,773,502,182,0,25,570,179,0,25,72,71,1172,394,510,375,662,251
86000US14846,"14846",952,270,933,267,5,11,0,13,9,15,0,13,0,13,5,8,4,8,1,2
86000US14847,"14847",2409,305,2229,303,39,47,9,9,25,20,2,4,14,16,91,49,16,16,75,47
86000US14850,"14850",65740,915,47197,971,3161,529,71,56,9095,407,15,25,2073,385,4128,498,1048,333,3080,395
86000US14853,"14853",2202,100,1071,238,404,201,11,15,365,153,0,13,284,143,67,61,26,41,41,39
86000US14854,"14854",95,89,95,89,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
86000US14855,"14855",871,150,842,146,0,13,0,13,0,13,0,13,1,3,28,33,26,32,2,4
86000US14856,"14856",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
86000US14858,"14858",1395,238,1318,217,0,13,12,13,1,3,0,13,0,13,64,49,33,42,31,28
86000US14859,"14859",1141,285,1114,289,0,13,1,2,0,13,0,13,0,13,26,37,0,13,26,37
86000US14860,"14860",1121,207,1072,211,5,10,4,5,0,13,0,13,12,21,28,31,23,28,5,7
86000US14861,"14861",1138,246,1079,246,15,24,0,13,0,13,0,13,0,13,44,31,4,5,40,31
86000US14864,"14864",1033,292,975,285,0,13,7,11,2,4,0,13,0,13,49,51,2,5,47,51
86000US14865,"14865",2647,293,2525,302,26,60,9,11,1,2,0,13,6,9,80,30,11,15,69,25
86000US14867,"14867",5242,164,5188,172,30,35,24,28,0,19,0,19,0,19,0,19,0,19,0,19
86000US14869,"14869",1471,282,1446,285,0,13,0,13,5,8,0,13,0,13,20,15,9,13,11,9
86000US14870,"14870",9970,448,8365,542,229,139,0,19,925,199,0,19,27,34,424,153,120,95,304,145
86000US14871,"14871",4551,574,4472,572,24,33,0,13,3,5,0,13,0,13,52,44,0,13,52,44
86000US14872,"14872",542,230,542,230,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
86000US14873,"14873",1995,226,1871,218,2,4,0,13,35,25,0,13,0,13,87,50,26,21,61,46
86000US14874,"14874",155,100,155,100,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
86000US14877,"14877",684,200,657,200,0,13,0,13,22,32,0,13,0,13,5,5,1,3,4,5
86000US14878,"14878",858,247,837,248,0,13,0,13,0,13,0,13,5,8,16,19,16,19,0,13
86000US14879,"14879",2254,285,2098,277,4,7,0,13,17,18,0,13,10,12,125,75,14,13,111,75
86000US14880,"14880",1520,260,1426,243,0,13,0,13,33,51,0,13,6,8,55,40,23,30,32,30
86000US14881,"14881",250,128,219,122,0,13,0,13,21,36,0,13,0,13,10,14,0,13,10,14
86000US14882,"14882",3678,624,3470,615,166,130,0,13,0,13,5,10,0,13,37,50,0,13,37,50
86000US14883,"14883",4540,486,4386,477,49,42,7,16,47,48,0,13,0,13,51,52,13,15,38,51
86000US14884,"14884",303,67,302,67,0,13,0,13,0,13,0,13,0,13,1,2,0,13,1,2
86000US14885,"14885",590,141,571,142,0,13,3,4,0,13,0,13,0,13,16,21,0,13,16,21
86000US14886,"14886",6544,584,6061,599,58,58,18,25,22,20,0,19,17,18,368,141,229,123,139,86
86000US14889,"14889",1270,155,1171,143,20,16,3,5,13,15,0,13,3,5,60,51,2,1,58,51
86000US14891,"14891",4416,283,4050,281,101,47,5,7,120,32,0,13,27,24,113,85,24,19,89,81
86000US14892,"14892",7552,370,7080,393,146,84,0,19,98,75,6,9,35,36,187,78,57,50,130,73
86000US14893,"14893",34,42,34,42,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
86000US14894,"14894",1440,217,1212,217,134,38,29,19,0,13,0,13,32,24,33,24,7,13,26,23
86000US14895,"14895",9168,349,8730,411,53,44,20,22,42,32,0,19,0,19,323,157,28,20,295,159
86000US14897,"14897",716,152,710,153,0,13,0,13,0,13,0,13,0,13,6,8,0,13,6,8
86000US14898,"14898",1549,269,1458,268,0,13,0,13,0,13,0,13,0,13,91,53,30,32,61,42
86000US14901,"14901",14906,906,10920,888,2088,341,68,48,185,98,0,21,547,185,1098,448,254,142,844,410
86000US14903,"14903",7090,620,6013,674,468,361,0,19,107,76,0,19,30,31,472,203,137,115,335,178
86000US14904,"14904",14285,722,12087,698,745,354,156,129,22,30,0,21,62,87,1213,335,290,160,923,303
86000US14905,"14905",8852,810,7589,717,429,222,0,19,190,178,0,19,70,63,574,329,217,136,357,308
